citation,doi
"<b>Subnational coffee production for selected countries</b></a><br><b>Flach, R.</b> · <i>Zenodo dataset</i> · 2026 · <a href=""https://doi.org/10.5281/ZENODO.20553378"" target=""_blank"">[DOI]</a>",10.5281/ZENODO.20553378
"<b>A global approach for mapping the supply chain of coffee: Data and Methods</b></a><br>Croft, S., Titley, M., <b>Flach, R.</b> et al. · <i>Zenodo dataset</i> · 2026 · <a href=""https://doi.org/10.48650/39dp-j408"" target=""_blank"">[DOI]</a>",10.48650/39dp-j408
"<b>Forestation and irrigation effects on the water cycle in Brazil</b></a><br>Wang-Erlandsson, L., <b>Flach, R.</b>, Kaandorp, C. &amp; Lathuilliere, M. · <i>Zenodo dataset</i> · 2025 · <a href=""https://doi.org/10.5281/ZENODO.17830880"" target=""_blank"">[DOI]</a>",10.5281/ZENODO.17830880
"<b>Data for “International reliance on Brazil’s water through soy and beef supply chains”</b></a><br>Lathuillière, M.J., <b>Flach, R.</b> et al. · <i>Zenodo dataset</i> · 2025 · <a href=""https://doi.org/10.5281/ZENODO.14921618"" target=""_blank"">[DOI]</a>",10.5281/ZENODO.14921618
