citation,doi
"<b>Uncovering trader water reliance and risks in Brazilian soy and beef supply chains</b></a><br>Lathuillière, M.J. &amp; <b>Flach, R.</b> · <i>Trase</i> · 2026 · <a href=""https://doi.org/10.48650/V347-SZ93"" target=""_blank"">[DOI]</a>",10.48650/V347-SZ93
"<b>Climate and ecosystem service benefits of forests and trees for agriculture</b></a><br>FAO, SEI, CI &amp; TNC · <i>FAO / Stockholm Environment Institute / Conservation International / TNC</i> · 2025 · <a href=""https://doi.org/10.4060/cd7599en"" target=""_blank"">[DOI]</a>",10.4060/cd7599en
"<b>Introducing the minerals-energy-food (MEF) complex</b></a><br>Dzebo, A., Talebian, S., Dellmuth, L., Vigil, S., <b>Flach, R.</b> et al. · <i>Stockholm Environment Institute</i> · 2025 · <a href=""https://doi.org/10.51414/sei2025.035"" target=""_blank"">[DOI]</a>",10.51414/sei2025.035
"<b>Uncovering Sub-Regional Drivers of Deforestation in the Amazon: A Tool for Targeted Solutions</b></a><br>Ribeiro, V. et al., incl. <b>Flach, R.</b> · <i>Technical Brief</i> · 2024 · <a href=""https://doi.org/10.13140/RG.2.2.25213.68324"" target=""_blank"">[DOI]</a>",10.13140/RG.2.2.25213.68324
"<b>Beyond deforestation: Water use in global agricultural commodity supply chains</b></a><br>Lathuillière, M., Ran, Y., West, C., Croft, S., <b>Flach, R.</b> &amp; Wang-Erlandsson, L. · <i>Stockholm Environment Institute</i> · 2022 · <a href=""https://doi.org/10.51414/sei2022.005"" target=""_blank"">[DOI]</a>",10.51414/sei2022.005
