citation,doi
"Kebede, E.A., Xie, Y., Laboy, G., Bhimani, K., Boser, A., Urfels, A., Khan, B., Adepoju, M., Adeluyi, O., Brauman, K.A., Casirati, S., Chandrasekaran, S., Deines, J.M., <b>Flach, R.</b>, Hansen, M.C., Hartman, S., Jobbagy, E., Khan, A., Kurapati, V., … Davis, K.F., 2026. GMIA-NEXT: Next-Generation Global Map of Irrigated Areas. In Review.",10.21203/rs.3.rs-10085674/v2
"Singh, C., Croft, S., Marsden, L., Persson, U.M., West, C., Galaz, V., Pacheco, P., Gardner, T., <b>Flach, R.</b>, Cook, J., Ribeiro, V., Vasconcelos, A., Titley, M., Arieira, J., Brandão, D., Nobre, C.A., Soares-Filho, B., 2026. Amazon deforestation footprint across global food and financial systems. Agriculture.",10.31223/X5ZF43
